,stop_id,stop_name,stop_lat,stop_lon,true_stop_id
0,8220B007612,Davenport Hotel Merrion Street,53.3413467794909,-6.250529480367451,7612
1,8220DB000002,"Rotunda, Parnell Square West",53.3522443611383,-6.26372321891887,2
2,8220DB000003,"Rotunda, Granby Place",53.35230855143251,-6.26381074216825,3
3,8220DB000004,"Rotunda, Rotunda Hospital",53.352574513185,-6.26417548603797,4
4,8220DB000006,"Rotunda, Saint Martin's Chapel",53.3527493357046,-6.264453803964339,6
5,8220DB000007,"Rotunda, Rotunda Hospital",53.352840910578394,-6.26457026121749,7
6,8220DB000008,"Rotunda, Parnell Square West",53.3532722714822,-6.265183676574,8
7,8220DB000010,"Rotunda, Parnell Square West",53.3533921036473,-6.265389123899539,10
8,8220DB000011,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.3569583030018,-6.264628310669281,11
9,8220DB000012,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.356804940545,-6.2645894713639105,12
10,8220DB000014,"Phibsborough, Lower Dorset Street",53.358531237875795,-6.26277650570871,14
11,8220DB000015,"Ballybough, Lower Dorset Street",53.360088584135895,-6.261090470313599,15
12,8220DB000016,"Cabra, John Paul Park",53.36639155714111,-6.3056141835273705,16
13,8220DB000017,"Drumcondra, Outside Train Station",53.36291707327501,-6.2584359173339905,17
14,8220DB000018,"Drumcondra, Lower Drumcondra Road",53.365855925916605,-6.25595682067835,18
15,8220DB000019,"Drumcondra, Lower Drumcondra Road",53.3671437314429,-6.25551350128863,19
16,8220DB000021,"Drumcondra (Dublin), Saint Patrick's College",53.3701011992947,-6.25431059904442,21
17,8220DB000022,"Drumcondra (Dublin), Home Farm Road (Achill Road)",53.3735036097406,-6.25280375269006,22
18,8220DB000023,"Drumcondra (Dublin), Ferguson Road",53.374228280079095,-6.256261004167,23
19,8220DB000024,"Drumcondra (Dublin), Home Farm Road",53.375133158884104,-6.26037234812319,24
20,8220DB000025,"Glasnevin, Rathlin Road",53.375899466147395,-6.26361773641709,25
21,8220DB000027,"Glasnevin, Ballymun Road (Griffith Avenue)",53.3794389600107,-6.266585261260031,27
22,8220DB000028,"Wadelai, Glasnevin Tennis Club",53.381578637628,-6.26600227077738,28
23,8220DB000029,"Whitehall (Dublin City), Ballymun Road",53.383488252945696,-6.26566910125417,29
24,8220DB000030,"Cabra, Pope John Paul II Park",53.3703319001931,-6.304601169229129,30
25,8220DB000031,"Wadelai, Maolbuille Road",53.3860332259144,-6.2688580772749996,31
26,8220DB000032,"Wadelai, Saint Pappin's Road",53.386195568073795,-6.271377201041401,32
27,8220DB000033,"Wadelai, Glasnevin Drive",53.3887179243058,-6.27177114122451,33
28,8220DB000035,"Wadelai, Dean Swift Road",53.386206787101294,-6.270910692540999,35
29,8220DB000036,"Wadelai, Saint Pappin's Road",53.386126850410996,-6.267877069783389,36
30,8220DB000037,"Whitehall (Dublin City), DCU Ballymun Road",53.385346401194,-6.264886981317941,37
31,8220DB000038,"Whitehall (Dublin City), Ballymun Road",53.3822365941636,-6.265509521205059,38
32,8220DB000039,"Glasnevin, Ballymun Road (Griffith Avenue)",53.3804141869323,-6.265658759065889,39
33,8220DB000040,"Glasnevin, Mobhi Road",53.37666076545071,-6.26466896852795,40
34,8220DB000041,"Drumcondra (Dublin), Home Farm Road",53.375559268325794,-6.26185800624669,41
35,8220DB000042,"Drumcondra (Dublin), Ferguson Road",53.3746502734575,-6.25746118972134,42
36,8220DB000043,"Drumcondra (Dublin), Home Farm Road (Achill Road)",53.37386122022679,-6.253901310433919,43
37,8220DB000044,"Drumcondra (Dublin), Homefarm Road",53.3730174091204,-6.25213230324296,44
38,8220DB000045,"Drumcondra, Upper Drumcondra Road",53.369990110962895,-6.254089717169911,45
39,8220DB000046,"Drumcondra (Dublin), Botanic Avenue",53.3671507382056,-6.25537796909961,46
40,8220DB000047,"Drumcondra, Near Train Station",53.3639161189927,-6.25729825652802,47
